Incident Report Number,Crime Type,Date,Time,Location Type,Address,Longitude,Latitude,Neighborhood
20162260580,FAMILY DISTURBANCE,8/13/16,800,,3600 BLOCK SOUTHRIDGE DR,,,
20162201676,PUBLIC INTOXICATION,8/7/16,2249,,9500 BLOCK N LAMAR BLVD,,,
20162241480,ASSIST COMPLAINANT,8/11/16,1951,,11700 BLOCK N FM 620 RD,,,
20162191523,INTER EMERG PHONECALL FAM/DATE,8/5/16,2100,,8700 BLOCK SOUTHWICK DR,,,
20162260682,FEDERAL VIOL/OTHER,8/13/16,944,,3600 BLOCK PRESIDENTIAL BLVD,,,
20162171029,THEFT BY SHOPLIFTING,8/4/16,1541,,5600 BLOCK N IH 35 SVRD NB,,,
20165033330,THEFT,8/13/16,130,,400 BLOCK E 6TH ST,,,
20168003650,THEFT,8/3/16,1210,,100 BLOCK SAN ANTONIO ST,,,
20162231757,FELONY ENHANCEMENT/ASSLT W/INJ,8/10/16,2225,,2700 BLOCK E 7TH ST,,,
20162191814,ROBBERY BY ASSAULT,8/5/16,2200,,700 BLOCK W LONGSPUR BLVD,,,
20162251108,CRIMINAL TRESPASS,8/12/16,1542,,200 BLOCK SAN JACINTO BLVD,,,
20162291335,THEFT,8/16/16,1952,,3200 BLOCK N LAMAR BLVD,,,
20165032158,GRAFFITI,8/5/16,1030,,500 BLOCK E BEN WHITE BLVD EB,,,
20165033166,THEFT,8/12/16,500,,E 8TH ST / CONGRESS AVE,-97.74212041,30.2699045,
20162200257,THEFT,8/6/16,2330,,600 BLOCK BRAZOS ST,,,
20165033876,CRIMINAL MISCHIEF,8/12/16,1125,,6000 BLOCK N IH 35 SVRD SB,,,
20162140145,THEFT,8/1/16,218,,700 BLOCK E 7TH ST,,,
20165032378,CRIMINAL MISCHIEF,8/5/16,0,,8200 BLOCK SUMMER SIDE DR,,,
20162260657,MISSING ADULT,8/9/16,1230,,2600 BLOCK YANDALL DR,,,
20162220196,BURGLARY NON RESIDENCE,8/9/16,358,,1600 BLOCK W 5TH ST,,,
20162151862,BURGLARY NON RESIDENCE,8/2/16,2312,,500 BLOCK W WILLIAM CANNON DR,,,
20162211235,THEFT BY SHOPLIFTING,8/8/16,1749,,9600 BLOCK RESEARCH BLVD NB,,,
20162200929,THEFT,8/7/16,1430,,1700 BLOCK FORT VIEW RD,,,
20162230557,THEFT OF BICYCLE,8/10/16,939,,12300 BLOCK METRIC BLVD,,,
20162150526,CRIMINAL TRESPASS,8/2/16,1008,,1900 BLOCK W BEN WHITE BLVD WB,,,
20162281105,ASSAULT BY CONTACT,8/15/16,1741,,5700 BLOCK PEPPERTREE PKWY,,,
20162231403,CRIMINAL TRESPASS,8/10/16,1937,,1100 BLOCK S LAMAR BLVD,,,
20165033477,ASSAULT BY CONTACT,8/14/16,1720,,4100 BLOCK GUADALUPE ST,,,
20165032030,CRIMINAL MISCHIEF,8/4/16,1045,,2000 BLOCK WOODWARD ST,,,
20162170968,ASSAULT W/INJURY-FAM/DATE VIOL,8/4/16,1500,,9700 BLOCK ARBORETUM BLVD,,,
20165033925,FRAUD - OTHER,8/10/16,1200,,700 BLOCK W 28TH ST,,,
20162190388,CRASH/FAIL STOP AND RENDER AID,8/6/16,459,,E MARTIN LUTHER KING JR BLVD / SCOTTSDALE RD,-97.67884169,30.28621435,
20165033030,FRAUD - OTHER,8/8/16,1200,,7300 BLOCK DAUGHERTY ST,,,
20162260941,DRIVING WHILE LICENSE INVALID,8/13/16,1240,,4300 BLOCK S US 183 HWY SB,,,
20162210695,OUT OF CITY AUTO THEFT,8/8/16,1129,,7500 BLOCK BLESSING AVE,,,
20165033751,FRAUD - OTHER,8/16/16,1300,,5200 BLOCK MEADOW CREEK DR,,,
20168003791,THEFT,8/10/16,930,,2200 BLOCK SINGLETREE AVE,,,
20162230426,AIRPORT - FEDERAL VIOL,8/10/16,815,,3600 BLOCK PRESIDENTIAL BLVD,,,
20162190857,CRASH/CITY VEHICLE,8/6/16,1246,,8100 BLOCK RESEARCH BLVD SVRD NB,,,
20165033341,BURGLARY OF VEHICLE,8/13/16,0,,2600 BLOCK WHELESS LN,,,
20168003795,CRIMINAL MISCHIEF,8/14/16,815,,3300 BLOCK NORWOOD HILL RD,,,
20165032240,THEFT,8/5/16,1620,,2300 BLOCK DURWOOD ST,,,
20162290909,AUTO THEFT,8/12/16,1200,,1700 BLOCK N LAMAR BLVD,,,
20165032125,THEFT OF LICENSE PLATE,8/2/16,1200,,5100 BLOCK MAULDING PASS,,,
20165033444,THEFT,8/14/16,1200,,800 BLOCK W 11TH ST,,,
20165032332,FRAUD - OTHER,8/6/16,1123,,700 BLOCK E 8TH ST,,,
20165033734,BURGLARY OF VEHICLE,8/16/16,0,,8100 BLOCK BRIARWOOD LN,,,
20162191698,REQUEST TO LOCATE,8/6/16,2245,,3400 BLOCK DUNLIEGH DR,,,
20162290251,BURGLARY OF VEHICLE,8/16/16,754,,6500 BLOCK BLUFF SPRINGS RD,,,
20162200999,PUBLIC LEWDNESS,8/7/16,1515,,1600 BLOCK GROVE BLVD,,,
20162200715,ROBBERY BY ASSAULT,8/4/16,1330,,2000 BLOCK RIVERVIEW ST,,,
20162211382,CRIMINAL TRESPASS NOTICE,8/8/16,1834,,700 BLOCK E STASSNEY LN,,,
20162190238,ASSAULT BY CONTACT FAM/DATING,8/6/16,2046,,700 BLOCK SAN JACINTO BLVD,,,
20162150358,THEFT,8/2/16,756,,2100 BLOCK ANDREW ZILKER RD,,,
20162181488,CRIMINAL MISCHIEF,8/5/16,1932,,5200 BLOCK WASSON RD,,,
20162190938,CRASH/CITY VEHICLE,8/6/16,1441,,4500 BLOCK WEST GATE BLVD,,,
20162220847,THEFT,8/8/16,1230,,1000 BLOCK NORWOOD PARK BLVD,,,
20162140213,DRIVING WHILE LICENSE INVALID,8/1/16,334,,800 BLOCK E RUNDBERG LN,,,
20162151258,DRIVING WHILE LICENSE INVALID,8/2/16,1749,,1000 BLOCK SPRINGDALE RD,,,
20162200786,DISTURBANCE - OTHER,8/7/16,1223,,4200 BLOCK DUVAL RD,,,
20162290421,DEATH DUE TO NATURAL CAUSES,8/16/16,953,,11200 BLOCK SALT CEDAR TRL,,,
20162241384,FOUND PROPERTY,8/11/16,1844,,700 BLOCK E 8TH ST,,,
20162201540,DWI,8/7/16,2135,,4300 BLOCK S IH 35 SVRD NB,,,
20165032371,CRASH/LEAVING THE SCENE,8/6/16,1545,,3900 BLOCK N IH 35 SVRD NB,,,
20162150677,ASSIST COMPLAINANT,8/2/16,1148,,12300 BLOCK HYMEADOW DR,,,
20165032236,SEXUAL ASSAULT INFORMATION,8/5/16,1603,,2200 BLOCK W 35TH ST,,,
20162231906,HARASSMENT,8/10/16,2323,,4300 BLOCK S 1ST ST,,,
20162281605,ASSAULT W/INJURY-FAM/DATE VIOL,8/15/16,2335,,2300 BLOCK WIRTZ AVE,,,
20162190912,POSS MARIJUANA,8/6/16,1400,,2500 BLOCK ELMONT DR,,,
20162200287,ASSAULT BY THREAT,8/7/16,306,,6100 BLOCK FAIRWAY ST,,,
20165032515,BURGLARY OF VEHICLE,8/8/16,830,,1100 BLOCK AUGUST DR,,,
20162200833,THEFT BY SHOPLIFTING,8/7/16,1445,,1000 BLOCK NORWOOD PARK BLVD,,,
20162171487,THEFT BY SHOPLIFTING,8/4/16,2036,,6800 BLOCK N LAMAR BLVD,,,
20162280870,DECEASED PERSON,8/15/16,1825,,7800 BLOCK SHOAL CREEK BLVD,,,
20162270988,OUT OF CITY AUTO THEFT,8/14/16,1430,,7000 BLOCK CROSSWOOD DR,,,
20165031620,THEFT FROM AUTO,8/1/16,1930,,12400 BLOCK ALAMEDA TRACE CIR,,,
20162151660,ASSAULT W/INJURY-FAM/DATE VIOL,8/2/16,2134,,1600 BLOCK RUTLAND DR,,,
20162200467,AGG ASLT STRANGLE/SUFFOCATE,8/7/16,640,,4900 BLOCK NUCKOLS CROSSING RD,,,
20162190237,DISTURBANCE - OTHER,8/6/16,228,,7400 BLOCK CAMERON RD,,,
20162290055,CRIMINAL TRESPASS,8/16/16,50,,1600 BLOCK E ANDERSON LN SVRD EB,,,
20162251617,ASSAULT WITH INJURY,8/12/16,2017,,E 8TH ST / RED RIVER ST,-97.73649438,30.26832192,
20162160752,THEFT,8/3/16,1130,,2400 BLOCK W BEN WHITE BLVD SVRD EB,,,
20165033195,FRAUD - OTHER,8/10/16,1200,,400 BLOCK KREBS LN,,,
2.01616E+12,THEFT BY SHOPLIFTING,8/10/16,1124,,5000 BLOCK W US 290 HWY EB,,,
20162160714,BURGLARY NON RESIDENCE,8/2/16,1800,,1800 BLOCK RIO GRANDE ST,,,
20162220427,CRIMINAL MISCHIEF,8/9/16,825,,2100 BLOCK ANDREW ZILKER RD,,,
20165032799,FRAUD - OTHER,8/8/16,1900,,8100 BLOCK RESEARCH BLVD SVRD NB,,,
20165031699,THEFT BY SHOPLIFTING,8/2/16,1145,,500 BLOCK CANYON RIDGE DR,,,
20162160838,ASSAULT BY CONTACT,8/3/16,1225,,700 BLOCK E BEN WHITE BLVD SVRD WB,,,
20162220119,TERRORISTIC THREAT,8/9/16,157,,200 BLOCK E 4TH ST,,,
20162140564,CRIMINAL TRESPASS/TRANSIENT,8/1/16,1018,,600 BLOCK N IH 35 SVRD NB,,,
20162251316,DWI,8/12/16,1714,,2500 BLOCK N MOPAC EXPY SB,,,
20162141875,CRASH/CITY VEHICLE,8/1/16,2327,,8900 BLOCK N LAMAR BLVD,,,
20162180752,THEFT BY SHOPLIFTING,8/5/16,1518,,5400 BLOCK N IH 35 SVRD NB,,,
20162200083,ASSAULT WITH INJURY,8/7/16,52,,1600 BLOCK DUNGAN LN,,,
20162270711,ASSAULT WITH INJURY,8/14/16,1051,,6500 BLOCK CHAMPION GRANDVIEW WAY,,,
20168003805,BICYCLE REGISTRATION,8/15/16,1455,,00 BLOCK RAINEY ST,,,
20165032028,CRASH/LEAVING THE SCENE,8/4/16,1300,,W BEN WHITE BLVD SVRD EB / MANCHACA RD,-97.78852736,30.22963221,
20165033926,CRED CARD ABUSE - OTHER,8/17/16,1510,,1500 BLOCK GASTON AVE,,,
20165032717,EMERGENCY PROTECTIVE ORDER,8/9/16,1112,,1900 BLOCK WEST LOOP,,,
20162161004,POSS CONTROLLED SUB/NARCOTIC,8/3/16,1500,,13600 BLOCK N IH 35 SVRD NB,,,
20162250702,THEFT,8/10/16,240,,8500 BLOCK SPICEWOOD SPRINGS RD,,,
20165033347,THEFT,8/12/16,1956,,3200 BLOCK KRAMER LN,,,
20165033391,BURGLARY OF VEHICLE,8/13/16,1928,,7000 BLOCK GUADALUPE ST,,,
20162261462,BURGLARY OF RESIDENCE,8/13/16,1400,,700 BLOCK CENTER RIDGE DR,,,
20165033780,THEFT BY SHOPLIFTING,8/16/16,1116,,2900 BLOCK S CAPITAL OF TEXAS HWY NB,,,
20162151072,THEFT,8/2/16,1611,,8800 BLOCK S IH 35 SVRD NB,,,
20165032593,CRIMINAL MISCHIEF,8/5/16,2300,,8000 BLOCK N FM 620 RD,,,
20162141160,ASSIST COMPLAINANT,8/1/16,1330,,6900 BLOCK BURNET LN,,,
20165031955,REQUEST TO LOCATE,8/1/16,600,,5000 BLOCK OLD MANOR RD,,,
20162140404,AIRPORT PLACES WEAPON PROHIBIT,8/1/16,830,,3600 BLOCK PRESIDENTIAL BLVD,,,
20165031642,BURGLARY OF VEHICLE,8/1/16,900,,8400 BLOCK ASMARA DR,,,
20162240882,THEFT,8/11/16,1414,,1000 BLOCK NORWOOD PARK BLVD,,,
20165032020,FRAUD - OTHER,8/4/16,930,,2000 BLOCK SHARON LN,,,
20162140936,INJ TO ELDERLY   FAM/DATE VIOL,8/1/16,1437,,3500 BLOCK E MARTIN LUTHER KING JR BLVD,,,
20165033459,THEFT,8/13/16,2330,,2800 BLOCK S LAKELINE BLVD,,,
20162150987,CRIMINAL TRESPASS,8/2/16,1513,,1000 BLOCK NORWOOD PARK BLVD,,,
20162250284,EVADING / FOOT,8/12/16,443,,8900 BLOCK CAMERON RD,,,
20168003707,CRIMINAL MISCHIEF,8/2/16,1550,,1900 BLOCK N IH 35 NB,,,
20162220619,THEFT OF TRAILER,8/6/16,730,,500 BLOCK W POWELL LN,,,
20165031900,CRIMINAL MISCHIEF,8/2/16,2200,,700 BLOCK W 24TH ST,,,
20165032171,CRIMINAL MISCHIEF,8/4/16,2100,,HART LN / FAR WEST BLVD,-97.75664617,30.35510578,
20165032200,THEFT,8/5/16,1000,,4900 BLOCK MUELLER BLVD,,,
20165033672,BURGLARY OF VEHICLE,8/16/16,830,,4500 BLOCK GUADALUPE ST,,,
20165033916,BURGLARY OF VEHICLE,8/16/16,1421,,1000 BLOCK CLAYTON LN,,,
20162211152,MISSING ADULT,8/8/16,1807,,5600 BLOCK BERKMAN DR,,,
20162201097,THEFT BY SHOPLIFTING,8/7/16,1647,,8600 BLOCK RESEARCH BLVD NB,,,
20162250518,CRIMINAL TRESPASS NOTICE,8/12/16,909,,300 BLOCK W WILLIAM CANNON DR,,,
20165032597,HARASSMENT,8/8/16,1536,,5700 BLOCK CAMERON RD,,,
20162180561,CRIMINAL TRESPASS NOTICE,8/5/16,1031,,800 BLOCK E WILLIAM CANNON DR,,,
20168003621,CRIMINAL MISCHIEF,8/3/16,1900,,4100 BLOCK TODD LN,,,
20162141815,ASSAULT W/INJURY-FAM/DATE VIOL,8/1/16,2257,,11800 BLOCK ARGONNE FOREST TRL,,,
20162161686,ROBBERY BY ASSAULT,8/3/16,2115,,2100 BLOCK WICKERSHAM LN,,,
20165033501,NUISANCE ABATEMENT,8/11/16,731,,6300 BLOCK CAMERON RD,,,
20162221625,DRIVING WHILE LICENSE INVALID,8/9/16,2007,,2500 BLOCK E RIVERSIDE DR,,,
20168003567,BICYCLE REGISTRATION,8/1/16,1850,,2600 BLOCK SCOFIELD RIDGE PKWY,,,
20162300027,THEFT BY SHOPLIFTING,8/17/16,47,,600 BLOCK W BEN WHITE BLVD EB,,,
20162190435,ASSAULT W/INJURY-FAM/DATE VIOL,8/6/16,412,,6400 BLOCK SPRINGDALE RD,,,
20165032961,BREACH OF COMPUTER SECURITY,8/10/16,1030,,5700 BLOCK W US 290 HWY EB,,,
20165033133,BURGLARY OF VEHICLE,8/10/16,2200,,12000 BLOCK DESSAU RD,,,
20162220921,POSS OF DRUG PARAPHERNALIA,8/9/16,1340,,1600 BLOCK E OLTORF ST,,,
20162261912,ASSAULT WITH INJURY,8/13/16,2339,,3600 BLOCK SOUTHRIDGE DR,,,
20162230478,CRIMINAL MISCHIEF,8/10/16,851,,4700 BLOCK N CAPITAL OF TEXAS HWY SB,,,
20162150177,THEFT,8/2/16,353,,1800 BLOCK PATTON LN,,,
20162210720,THEFT INFORMATION,8/5/16,0,,12600 BLOCK RESEARCH BLVD NB,,,
20165032882,THEFT,8/10/16,830,,12400 BLOCK TECH RIDGE BLVD,,,
20162281264,TERRORISTIC THREAT-FAM/DAT VIO,8/15/16,1902,,700 BLOCK W WILLIAM CANNON DR,,,
20162201607,ASSAULT WITH INJURY,8/7/16,2233,,200 BLOCK E 6TH ST,,,
20165033750,BURGLARY OF VEHICLE,8/16/16,500,,6500 BLOCK BLUFF SPRINGS RD,,,
20165033841,THEFT,8/16/16,1700,,4300 BLOCK OLENICK ST,,,
20162150267,THEFT BY SHOPLIFTING,8/2/16,604,,7300 BLOCK CAMERON RD,,,
20162200569,THEFT,8/7/16,854,,7600 BLOCK N IH 35 NB,,,
20168003718,BURGLARY OF VEHICLE,8/9/16,730,,6800 BLOCK WAKE FOREST LN,,,
20165031867,BURGLARY OF VEHICLE,8/3/16,1330,,1100 BLOCK E 52ND ST,,,
20165032955,BURGLARY OF VEHICLE,8/10/16,1445,,5500 BLOCK LA CROSSE AVE,,,
20165033697,CRIMINAL MISCHIEF,8/15/16,2300,,10500 BLOCK ANTELOPE RUN,,,
20165032759,CRIMINAL MISCHIEF,8/8/16,1900,,8400 BLOCK TWIGGY LN,,,
20162220430,CRIMINAL TRESPASS,8/9/16,836,,2400 BLOCK S CONGRESS AVE,,,
20162231327,ASSAULT W/INJURY-FAM/DATE VIOL,8/10/16,1735,,12300 BLOCK METRIC BLVD,,,
20162171057,ASSAULT BY CONTACT FAM/DATING,8/4/16,1603,,1100 BLOCK RUTLAND DR,,,
20165032455,CRIMINAL MISCHIEF,8/7/16,800,,2900 BLOCK BEANNA ST,,,
20165032947,FRAUD - OTHER,8/2/16,1454,,700 BLOCK GRAHAM PL,,,
20162161581,THEFT INFORMATION,8/3/16,2025,,6200 BLOCK RIVERSTONE DR,,,
20162271634,ASSAULT WITH INJURY,8/14/16,2306,,200 BLOCK E 6TH ST,,,
20162201518,OUT OF CITY AUTO THEFT,8/7/16,2221,,1000 BLOCK CLAYTON LN,,,
20162150531,AUTO THEFT,8/1/16,1800,,11900 BLOCK HOBBY HORSE CT,,,
20165032357,THEFT,8/5/16,1501,,2300 BLOCK GRACY FARMS LN,,,
20162200722,THEFT,8/7/16,1342,,9700 BLOCK N LAMAR BLVD,,,
20162241569,DISTURBANCE - OTHER,8/11/16,2036,,100 BLOCK BEAVER ST,,,
20168003687,BURGLARY OF VEHICLE,8/7/16,1000,,10900 BLOCK N LAMAR BLVD,,,
20165031785,THEFT FROM AUTO,8/2/16,20,,8200 BLOCK SAM RAYBURN DR,,,
20165033541,BURGLARY OF VEHICLE,8/15/16,930,,1500 BLOCK WESTMOOR DR,,,
20162150335,THEFT INFORMATION,8/1/16,800,,700 BLOCK E 7TH ST,,,
20162181520,BURGLARY OF RESIDENCE,8/5/16,600,,1100 BLOCK RUTLAND DR,,,
20162221268,CRIMINAL TRESPASS,8/9/16,1631,,300 BLOCK W 29TH ST,,,
20162190180,ASSAULT BY CONTACT,8/6/16,152,,7600 BLOCK N LAMAR BLVD NB,,,
20162150732,THEFT BY SHOPLIFTING,8/2/16,1315,,9300 BLOCK S IH 35 SVRD NB,,,
20162261407,THEFT BY SHOPLIFTING,8/13/16,1858,,9300 BLOCK S IH 35 SVRD SB,,,
20162231227,UNLAWFUL CARRYING WEAPON,8/10/16,1730,,500 BLOCK W WILLIAM CANNON DR,,,
20162280507,AUTO THEFT,8/14/16,2030,,11600 BLOCK JOLLYVILLE RD,,,
20165032347,FRAUD - OTHER,8/6/16,1200,,700 BLOCK CONGRESS AVE,,,
20165033564,FRAUD - OTHER,8/1/16,1200,,1500 BLOCK PARKWAY,,,
20165032273,CRIMINAL MISCHIEF,8/5/16,1820,,1100 BLOCK W CESAR CHAVEZ ST,,,
20162231069,THEFT BY SHOPLIFTING,8/10/16,1450,,1000 BLOCK E 41ST ST,,,
20165033175,CRIMINAL MISCHIEF,8/11/16,1835,,4900 BLOCK MUELLER BLVD,,,
20168003692,BURGLARY OF VEHICLE,8/4/16,202,,3400 BLOCK TOM GREEN ST,,,
20162181716,THEFT,8/5/16,1700,,1700 BLOCK MATTHEWS LN,,,
20162171657,CRIMINAL TRESPASS NOTICE,8/4/16,2214,,4300 BLOCK S 1ST ST,,,
20165032181,THEFT,8/5/16,1202,,1100 BLOCK S CONGRESS AVE,,,
20162271187,CRIMINAL MISCHIEF,8/14/16,1753,,2000 BLOCK S 1ST ST,,,
20162200395,ASSAULT W/INJURY-FAM/DATE VIOL,8/7/16,330,,3600 BLOCK SERENA WOODS CT,,,
20165033510,THEFT,8/12/16,1700,,4500 BLOCK FREIDRICH LN,,,
20162170844,ASSAULT W/INJURY-FAM/DATE VIOL,8/5/16,2042,,6600 BLOCK N IH 35 SVRD NB,,,
20165033405,CRIMINAL MISCHIEF,8/13/16,2030,,500 BLOCK E 8TH ST,,,
20165033025,LITTERING,8/8/16,530,,1600 BLOCK CLOVERLEAF DR,,,
20165032574,THEFT BY SHOPLIFTING,8/8/16,1345,,1800 BLOCK GUADALUPE ST,,,
20165032521,THEFT,8/3/16,1600,,3300 BLOCK WESTLAKE DR,,,
20162140512,DRIVING WHILE LICENSE INVALID,8/1/16,941,,9000 BLOCK N IH 35 SVRD SB,,,
20162230609,DEATH DUE TO NATURAL CAUSES,8/10/16,1011,,3700 BLOCK VALLEY VIEW RD,,,
20168003735,BICYCLE REGISTRATION,8/10/16,1155,,6200 BLOCK SHOAL CREEK BLVD,,,
20162280086,DISTURBANCE - OTHER,8/15/16,140,,5800 BLOCK SWEENEY CIR,,,
20162191074,FAMILY DISTURBANCE,8/6/16,1600,,8400 BLOCK FATHOM CIR,,,
20162190188,DATING DISTURBANCE,8/6/16,229,,8800 BLOCK N IH 35 SVRD SB,,,
20165032228,BREACH OF COMPUTER SECURITY,8/5/16,1243,,8000 BLOCK VERBANK VILLA DR,,,
20165033860,THEFT OF AUTO PARTS,8/14/16,1400,,2800 BLOCK ASHDALE DR,,,
20162210851,BURGLARY OF RESIDENCE,8/7/16,1900,,12100 BLOCK DESSAU RD,,,
20162230131,AGG ASLT STRANGLE/SUFFOCATE,8/10/16,150,,1500 BLOCK FARO DR,,,
20162250782,THEFT FROM PERSON,8/12/16,1254,,700 BLOCK PEDERNALES ST,,,
20165032536,THEFT,8/8/16,1115,,7400 BLOCK BURNET RD,,,
20168003812,THEFT OF BICYCLE,8/14/16,2200,,1000 BLOCK CAMINO LA COSTA,,,
20165031965,BURGLARY OF VEHICLE,8/3/16,2100,,300 BLOCK WOOD BINE DR,,,
20162140916,CRIMINAL MISCHIEF,8/1/16,1502,,900 BLOCK E STASSNEY LN,,,
20162141168,THEFT BY SHOPLIFTING,8/1/16,1726,,700 BLOCK E BEN WHITE BLVD WB,,,
20165032805,FRAUD - OTHER,8/9/16,1030,,6400 BLOCK COLTON BLUFF SPRINGS RD,,,
20162181591,ASSAULT W/INJURY-FAM/DATE VIOL,8/5/16,1942,,3500 BLOCK SAND DUNES AVE,,,
20162160706,ASSAULT BY THREAT FAM/DATING,8/3/16,1058,,1300 BLOCK COLETO ST,,,
20162261511,ASSAULT BY CONTACT FAM/DATING,8/13/16,2042,,1500 BLOCK W WELLS BRANCH PKWY,,,
20165031758,CRIMINAL MISCHIEF,8/2/16,1915,,700 BLOCK RED RIVER ST,,,
20162181106,CRIMINAL TRESPASS,8/5/16,1722,,9400 BLOCK N LAMAR BLVD,,,
20162231481,ASSAULT BY CONTACT,8/10/16,1858,,1000 BLOCK NORWOOD PARK BLVD,,,
20165033823,THEFT OF AUTO PARTS,8/16/16,2310,,6500 BLOCK N LAMAR BLVD,,,
20165032977,THEFT,8/10/16,1650,,5200 BLOCK EILERS AVE,,,
20162201044,DRIVING WHILE LICENSE INVALID,8/7/16,1605,,NORTH PLZ / E RUNDBERG LN,-97.68434019,30.35596221,
20165032039,LOST PROP,8/3/16,1349,,BARTON SPRINGS RD / S LAMAR BLVD,-97.7585309,30.26085944,
20168003818,THEFT,8/16/16,2130,,1700 BLOCK E 5TH ST,,,
20165033311,THEFT BY SHOPLIFTING,8/12/16,2000,,100 BLOCK E SLAUGHTER LN,,,
20162161661,ASSAULT INFORMATION,8/3/16,2204,,12800 BLOCK TOMANET TRL,,,
20162141374,ASSAULT W/INJURY-FAM/DATE VIOL,8/1/16,155,,11500 BLOCK METRIC BLVD,,,
20165033581,THEFT,8/15/16,830,,3600 BLOCK PRESIDENTIAL BLVD,,,
20162161259,MISSING ADULT,8/3/16,1750,,12900 BLOCK COVINGTON TRL,,,
20162201341,DWI,8/7/16,1930,,9400 BLOCK N IH 35 SB,,,
20165031794,SEXUAL ASSAULT INFORMATION,8/3/16,926,,UNKNOWN,,,
20165031861,THEFT,8/3/16,930,,1400 BLOCK W WELLS BRANCH PKWY,,,
20162150002,CRIMINAL MISCHIEF,8/2/16,36,,11400 BLOCK PTARMIGAN DR,,,
20162300408,CRIMINAL TRESPASS/TRANSIENT,8/17/16,843,,500 BLOCK W 24TH ST,,,
20165032081,FRAUD - OTHER,8/1/16,1200,,3800 BLOCK DROSSETT DR,,,
20165033805,THEFT,8/16/16,1754,,9500 BLOCK S IH 35 SVRD SB,,,
20165032506,THEFT,8/5/16,2100,,2700 BLOCK WHELESS LN,,,
20165033387,THEFT,8/13/16,1600,,1000 BLOCK W 5TH ST,,,
20165032878,THEFT,8/5/16,1033,,700 BLOCK WALLINGFORD BEND DR,,,
20165031667,BURGLARY OF VEHICLE,8/1/16,1800,,9600 BLOCK CURLEW DR,,,
20168003651,THEFT OF BICYCLE,8/3/16,2025,,500 BLOCK LIGHTSEY RD,,,
20162170242,BURGLARY NON RESIDENCE,8/4/16,737,,4200 BLOCK BROOKVIEW RD,,,
20162151297,ASSAULT BY CONTACT FAM/DATING,8/2/16,1814,,9500 BLOCK KEMPLER DR,,,
20165033373,BURGLARY OF VEHICLE,8/8/16,1513,,2100 BLOCK E OLTORF ST,,,
20162211352,DRIVING WHILE LICENSE INVALID,8/8/16,1843,,5100 BLOCK E STASSNEY LN,,,
20162220692,DECEASED PERSON,8/8/16,1000,,2300 BLOCK LARAMIE TRL,,,
20165032421,BURGLARY OF VEHICLE,8/5/16,2000,,3400 BLOCK S IH 35 SVRD NB,,,
20162160462,DEATH DUE TO NATURAL CAUSES,8/3/16,843,,2200 BLOCK E 17TH ST,,,
20162151445,FAMILY DISTURBANCE,8/2/16,1945,,1200 BLOCK MEADGREEN DR,,,
20165033771,THEFT,8/16/16,1440,,2200 BLOCK GUADALUPE ST,,,
20162141421,THEFT BY SHOPLIFTING,8/1/16,1915,,6800 BLOCK BERKMAN DR,,,
20162170021,FELONY ENHANCEMENT/ASSLT W/INJ,8/4/16,59,,7100 BLOCK NORTHEAST DR,,,
20165031836,BURGLARY OF VEHICLE,8/1/16,900,,8500 BLOCK CAHILL DR,,,
20162221172,THEFT BY SHOPLIFTING,8/9/16,1600,,1000 BLOCK E 41ST ST,,,
20165033787,THEFT BY SHOPLIFTING,8/13/16,1758,,1200 BLOCK BARBARA JORDAN BLVD,,,
20165033087,CRIMINAL MISCHIEF,8/10/16,1900,,1800 BLOCK WEST AVE,,,
20162180147,EVADING / FOOT,8/5/16,216,,1000 BLOCK CLAYTON LN,,,
20162251246,DISTURBANCE - OTHER,8/12/16,1640,,1800 BLOCK W BRAKER LN,,,
20162220928,AUTO THEFT,8/9/16,1427,,4400 BLOCK E WILLIAM CANNON DR,,,
20165033678,CRIMINAL MISCHIEF,8/16/16,909,,5400 BLOCK BURNET RD,,,
20165033188,THEFT OF BICYCLE,8/1/16,1800,,4400 BLOCK AVENUE A,,,
20162150738,BURGLARY OF VEHICLE,8/2/16,1451,,5300 BLOCK N IH 35 SVRD NB,,,
20165031800,MISSING ADULT,8/2/16,715,,1200 BLOCK E 38TH HALF ST,,,
20165032462,THEFT,8/7/16,1430,,9900 BLOCK BRODIE LN,,,
20165033612,BURGLARY OF VEHICLE,8/14/16,2300,,7000 BLOCK MOUNT CARRELL DR,,,
20162201422,THEFT BY SHOPLIFTING,8/7/16,2015,,6900 BLOCK BRODIE LN,,,
20162151196,ASSAULT BY CONTACT FAM/DATING,8/2/16,1719,,200 BLOCK W BEN WHITE BLVD SVRD EB,,,
20165032459,THEFT,8/7/16,130,,400 BLOCK E 6TH ST,,,
20162221057,ROBBERY BY ASSAULT,8/8/16,1100,,MEARNS MEADOW BLVD / RUTLAND DR,-97.70063501,30.36700221,
20165033203,FOUND PROPERTY,8/5/16,1200,,E 10TH ST / CONGRESS AVE,-97.74144841,30.27180239,
20165033260,OUT OF CITY CREDIT CARD ABUSE,8/8/16,1200,,1500 BLOCK FOREST TRL,,,
20162210455,WARRANT ARREST NON TRAFFIC,8/8/16,848,,1100 BLOCK GARDNER RD,,,
20165033913,HARASSMENT,8/17/16,1330,,2800 BLOCK NUECES ST,,,
20162210339,PUBLIC INTOXICATION,8/8/16,714,,9700 BLOCK MANCHACA RD,,,
